,dates,headline,section_name,abstract,Format_date,Tag
0,2003-06-11T05:00:00+0000,A Visitor to Toronto Is Stricken With SARS,World,"North Carolina man who visited Toronto in May comes down with SARS, apparently contracted while visiting relative at nursing home; health officials in state say case is mild and illness has not spread (S)",6/11/2003,
1,2003-06-11T05:00:00+0000,Singapore Tightens SARS-Control System,World,Singapore toughens its already strict SARS-prevention regimen (S),6/11/2003,
2,2003-06-26T05:00:00+0000,World Briefing: Asia,World,SOUTH KOREA: Summit Meeting Charges; CHINA: New Sars Case;.,6/26/2003,
3,2003-06-08T05:00:00+0000,The SARS Enigma,World,"Lawrence K Altman news analysis on many imponderables about SARS epidemic, particularly reliability of data from China, where disease has struck hardest; major concern is volatility of disease that has spread to more than 30 countries, but with unequal force, and has been devastating in Toronto; Dr David L Heymann of WHO explains that missing single case can fire up new outbreak, as in Singapore (M)",6/8/2003,
4,2003-06-10T05:00:00+0000,Singapore Enacts Penalties for Lying About SARS Exposure,World,Singapore is adding to the strict public health measures it has used to bring the outbreak under control.,6/10/2003,
5,2003-06-10T05:00:00+0000,15 New Cases Of Pneumonia Near Toronto May Be SARS,World,"Ontario health officials say they are concerned over new cluster of suspected SARS cases in hospital in Whitby, hour's drive east of Toronto, where 15 people receiving dialysis have contracted pneumonia; say there is no obvious connection to any previous patient with SARS, but they are assuming it is SARS and taking appropriate precautions; authorities are scrambling to find epidemiological link to possible new cluster, to contain broader possible outbreak (M)",6/10/2003,
6,2003-06-08T05:00:00+0000,"More Cases of SARS, but No New Deaths",World,"No new SARS deaths were reported on Saturday, but China, Hong Kong and Taiwan all announced new cases.",6/8/2003,
7,2003-06-21T05:00:00+0000,World Briefing | Asia: China: Disease Outbreak Confirmed,World,"Japanese encephalitis outbreak in Guangdong Province (China) is confirmed as regional authorities announce 18 deaths and 211 cases of disease; secrecy about outbreak, reminiscent of regional confusion regarding SARS outbreak, has caused Hong Kong officials to be concerned (S)",6/21/2003,
8,2003-06-20T05:00:00+0000,Pattaya Journal; A Famed Resort Where Tourists Fear to Tread,World,"Pattaya, Thailand's most famous beach resort, is virtually empty of tourists amid fears of terrorism and SARS infection; situation has only worsened with recent arrest of three men in Muslim south who said they were members of terrorist cell that was planning to attack embassies and entertainment spots; residents report growing prejudice against Arabs; map; photos (Pattaya Journal) (M)",6/20/2003,
9,2003-06-06T05:00:00+0000,"SARS Outbreak Fading Away, Officials Say",World,"Dr Henk Bekedam of World Health Orgn says SARS epidemic is winding down all over world, including China, worst-hit country; this is second day in row that China has no new cases of disease; Bekedam says WHO now believes that statistics released by Chinese government are generally reliable; despite pronounced decline in new cases, international health officials warn that continued vigilance is necessary to prevent resurgence like one occurring in Toronto this week (M)",6/6/2003,
0,2003-06-04T05:00:00+0000,"Now, the SARS Emotional Toll",World,"Pace of new SARS infections ebbs in East Asia, but disease takes emotional toll, both on people infected and on many more who face discrimination because of their association with victims; photos; Hong Kong study finds psychiatric problems among survivors; complaints of job discrimination also reported (M)",6/4/2003,
1,2003-06-05T05:00:00+0000,"SARS Epidemic Winding Down, Health Officials Say",World,"The SARS epidemic seems to be on the decline all over the world, including in China, the worst hit country, health officials said today.",6/5/2003,
2,2003-05-31T05:00:00+0000,"SARS Ebbs in East Asia, but Financial Recovery Is Slow",World,"Economists and business executives say economic consequences of SARS in East Asia will continue to be felt for months, even as number of new cases declines; strong divergence between slow domestic demand and brisk exports had made it particularly difficult for economists to gauge economic output; outlook for China and Hong Kong discussed; photo (M)",5/31/2003,
3,2003-05-30T05:00:00+0000,Number of SARS Cases Falls Sharply in China,World,"China has nearly tamed the SARS epidemic, with new cases dwindling and no evidence of the wildfire spread in the hinterlands that experts had feared.",5/30/2003,
4,2003-05-30T05:00:00+0000,Number of SARS Cases Falls Sharply in China,World,"China has nearly tamed the SARS epidemic, with new cases dwindling and no evidence of the wildfire spread in the hinterlands that experts had feared.",5/30/2003,
5,2003-05-31T05:00:00+0000,China Says SARS in Retreat; Canada Has Another Death,World,"China reports number of new SARS cases is dwindling and there is no evidence that infection is spreading to hinterlands, as some experts had feared; reports seven new cases; about 5,600 cases have been reported nationwide since first outbreak; Canadian health officials announce death in Toronto of another SARS patient, 30th to die of disease there so far; international experts raise questions about China's reporting but generally agree disease appears to be waning there (M)",5/31/2003,
6,2003-05-30T05:00:00+0000,Fallout From Hong Kong SARS Will Hit Far and Wide,World,"While SARS infections have ebbed across east Asia, the economic consequences may continue to be felt for months to come.",5/30/2003,
7,2003-05-29T05:00:00+0000,Quarantine Hits Toronto School In SARS Fight,World,"Health authorities in Canada quarantine as many as 2,000 students, teachers and staff members of large parochial school on outskirts of Toronto that was closed after 11th-grade student attended classes for two days last week while showing symptoms of SARS; new quarantine underscores potential seriousness of new outbreak of SARS, only two weeks after local and international authorities declared it was no longer spreading in Toronto; second potential new case of SARS is being investigated in small Ontario community of Parry Sound after resident there develops SARS-type symptoms following visit to affected hospital in Tornoto; 70 residents of Parry Sound are in quarantine; possibility that disease has affected fifth hospital in metropolitan Toronto area is also under investigation after new wave of illness is reported; two elderly SARS patients die, bringing total to 29 deaths in Toronto area in three months; photo (M)",5/29/2003,
8,2003-05-30T05:00:00+0000,Toronto Triples Its SARS Tally to 33 Probable Victims,World,"Health authorities say number of people they consider infected by second outbreak of SARS in Toronto has tripled in last 24 hours, although some officials express optimism that new cluster of cases has reached its peak; increase in cases was expected and comes as result of new patients showing symptoms after incubation period that followed recent exposure; it is also because of redefinition by local officials of what constitutes proven case of SARS; World Health Orgn officials say they are not contemplating new travel advisory at this point; photo (M)",5/30/2003,
9,2003-05-29T05:00:00+0000,Hong Kong Names a Panel to Plan for SARS,World,"Hong Kong's leader Tung Chee-hwa names panel of international experts to draft contingency plans for another SARS outbreak next winter; says no specific official will be investigated in government's handling of disease there this spring; says panel's chairman will be Dr Yeoh Eng-kiong, secretary of health, welfare and food, who is controversial figure because he consistently sought to play down seriousness of outbreak when it began in mid-Mar; unlike governments of Singapore and Vietnam, which quarantined initial victims of SARS, Hong Kong left hospital ward housing SARS patients open to visitors, some of whom contracted disease and then spread it in community; decision to focus panel on how to respond to future outbreaks, and to name Dr Yeoh as its chairman, draws strong criticism from Hong Kong's opposition parties; photo (M)",5/29/2003,
0,2003-05-27T05:00:00+0000,Reported Asian SARS Cases Continue to Fall,World,Fewer than two dozen new cases of SARS were reported in Asia today as the disease appeared to recede further in the region.,5/27/2003,
1,2003-05-28T05:00:00+0000,SARS Forces Beijing to Fight An Old but Unsanitary Habit,World,"China's battle against SARS virus takes on old unsanitary habit of spitting in street, with authorities and volunteers handing out little plastic spit bags in parks and malls; photos; Communist Party Central Committee gives imprimatur to campaign, issuing Directive on Launching Activities to Transform Vile Habits (M)",5/28/2003,
2,2003-05-27T05:00:00+0000,Toronto Again Listed as City With Spreading SARS Cases,World,"World Health Orgn restores Toronto to its list of places where SARS is spreading after Ontario health authorities announce eight new probable cases of disease; United States Centers for Disease Control and Prevention issues new travel alert for Toronto; total of 27 pepole in Toronto have died of SARS, including 2 of 8 new cases (M)",5/27/2003,
3,2003-05-27T05:00:00+0000,Tests in China Suggest Some With SARS Don't Become Ill,World,"World Health Orgn reports that blood tests of people who work with exotic animals in markets in southern China show that significant proportion apparently have been infected with SARS virus, suggesting that some people may become infected without becoming ill; findings are from two separate studies of workers in markets in Guangdong Province; they strengthen SARS link between animals and humans (M)",5/27/2003,
4,2003-05-27T05:00:00+0000,SARS Scare Casts Pall on Las Vegas of Siberia,World,"Blagoveshchensk, small city in remote southern Siberia, has carved itself prosperous niche as mecca for Chinese gamblers; 7 of every 10 customers at its casinos come from China, where gambling is illegal; flow of Chinese gamblers stops after local man is diagnosed as Russia's only known case of SARS, and local border posts snap shut; Russian authorities are focusing on Chinese presence in border area of Siberia as potential entry route for virus; photo; map (M)",5/27/2003,
5,2003-05-24T05:00:00+0000,Singapore Begins SARS TV Channel,World,Singapore's three main broadcasters begin special public service channel carrying only news and information about severe acute respiratory syndrome; channel is meant to raise awareness about symptoms and prevent spread of SARS (S),5/24/2003,
6,2003-05-24T05:00:00+0000,Strain of SARS Is Found In 3 Animal Species in Asia,World,"World Health Organization reports virus virtually identical to one thought to cause SARS in humans has been found in masked palm civets and two other exotic animal species sold in Guandong Province, where early cases of SARS occurred among food handlers who sold live exotic animals for human consumption; evidence raises possibility that virus jumped from animals to humans; Chinese government plans to ban sale of animals; Chinese scientist doubts ban will succeed because civet is traditional delicacy; photo (M)",5/24/2003,
7,2003-05-21T05:00:00+0000,SARS Fears Shake Taiwan Medical Staffs,World,"Doctors and nurses are resigning en masse in Taiwan for fear of SARS; 94 percent of Taiwan's known cases were transmitted inside hospitals, with new outbreak just reported; photo; nine major hospitals have been fully or partially shut down (M)",5/21/2003,
8,2003-05-21T05:00:00+0000,W.H.O. Expresses Optimism China Can Control SARS,World,"WHO reports number of SARS cases being reported in China is dropping rapidly in many areas of country, bringing wary optimism about containing disease; Dr Henk Bekedam says he does not now believe disease will become endemic in China (M)",5/21/2003,1
9,2003-05-23T05:00:00+0000,Market for Chinese-American Delicacy Plummets,World,"Sale of squab, delicacy favored by Chinese-Americans, has dropped because of SARS epidemic; squab farmers in Modesto, Calif, are packing birds away in cold storage because fear of SARS has emptied most restaurants in San Francisco's Chinatown; photo (M)",5/23/2003,
0,2003-05-19T05:00:00+0000,"As SARS Eases, Beijing Classes Resume",World,"Beijing students will start returning to school over next several weeks, as threat of SARS apparently eases in China; China has reported 5,223 cases with 284 fatalities (S)",5/19/2003,
1,2003-05-22T05:00:00+0000,U.N. Health Agency's New Head Pledges Stronger Response to Epidemics Like SARS,World,"Dr Jong-Wook Lee, newly elected director general of World Health Orgn, pledges to expand and strengthen agency's response network to help alert world to epidemics like SARS; says he would seek $200 million from donor countries to train more epidemiologists and develop field laboratories in poor countries, as well as to evaluate global response to new diseases like SARS; he recently visited China, which has reported overwhelming majority of 7,956 SARS cases reported in world; Chinese news agency reports arrest of man accused of deliberately spreading SARS virus; man reportedly escaped from hospital twice while being treated for disease; WHO expands its travel advisory to include all of Taiwan, not just its capital, Taipei, after Taiwan's Center for Disease Control announces 65 more probable cases on island (M)",5/22/2003,
2,2003-05-17T05:00:00+0000,Ireland Bars Athletes From Nations With SARS,World,"Irish government asks athletes from countries affected by SARS not to travel to Ireland for Special Olympics World Summer Games, but also says it will reconsider its decision as more information becomes available; decision would take effect 10 days before 6,500 participating athletes would normally arrive for competition; affected areas would be determined by list that World Health Organization issues each day (M)",5/17/2003,
3,2003-05-17T05:00:00+0000,Latest SARS Victim Is Clothing Industry,World,"SARS hits apparel business hard; more than $23 billion of clothing--40 percent of all American clothing imports--is shipped to United States every year from Far East, region most severely affected by SARS; within last two months, America's clothing industry has been disrupted by SARS-related bans on travel, delayed shipments of merchandise and worries about what future could bring; photo (M)",5/17/2003,
4,2003-05-23T05:00:00+0000,U.S. Doctor With Symptoms To Fly Home From Taiwan,World,"American doctor advising Taiwan on fighting its SARS epidemic is being flown home by air ambulance after coming down with symptoms of the disease; three healthy colleagues will accompany him; if he does have SARS, he will be first American investigator to have caught disease; he is Dr Chesley L Richards Jr, epidemiologist for US Centers for Disease Control and Prevention; hotel where he stayed in Taipei voluntarily closes for three days of disinfection, and 13 employees are placed in home quarantine; 200 other employees and guests are told to take their temperatures regularly; Dr Julie L Gerberding, directer of CDC, says possibility that expert in hospital infection control might have been infected in hospital underlines difficulty of protecting against SARS virus (M)",5/23/2003,
5,2003-05-19T05:00:00+0000,SARS Furor Heightens Taiwan-China Rift,World,"Taiwan's hopes of being granted observer status in World Health Orgn have been blocked for years by China; because China has become target of international criticism for hiding its SARS epidemic so long that it burst out across Asia, there may be more of fight this year; Taiwan now has SARS-based argument--that excluding it imperils world; Taiwan has voluntarily reported its communicable disease figures to WHO, and sneers at China's early cover-up (M)",5/19/2003,
6,2003-05-20T05:00:00+0000,"No Cases of SARS Have Been Transmitted on Airlines Since March, W.H.O. Reports",World,"World Health Orgn reports no cases of SARS have been transmitted on airline flights since late Mar, after it recommended that countries and airlines screen passengers and crew members departing from affected areas; says most recent affected flight was on Mar 23, from Bangkok to Beijing, four days before it made its recommendations on air travel; Taiwan, which is battling epidemic of SARS, is unsuccessful in its effort to use disease as reason to gain observer status in WHO; photo (M)",5/20/2003,1
7,2003-05-17T05:00:00+0000,"For Some Adoptive Parents, SARS Brings a Heart-Rending Delay",World,"Chinese government, reacting to SARS epidemic, halts two final steps in long process by which foreigners adopt Chinese babies, making travel to China nearly impossible for some adoptive parents; virus outbreak may delay adoption of 100 children a week, causing heartache to adoptive parents; photos (M)",5/17/2003,
8,2003-05-23T05:00:00+0000,Some Chinese Say Government's Response to Epidemic Has Been Too Heavy-Handed,World,"China's Communist Party seeks to claim credit for defusing SARS crisis caused partly by official denial and deceit; some scholars and media commentators, disagree, saying SARS did more to expose weaknesses of China's political culture than its strengths; frank debate about government's handling of SARS comes as anxiety about disease has begun to ease (M)",5/23/2003,
9,2003-05-28T05:00:00+0000,W.H.O. Expected to Gain Broader Powers,World,"World Health Organization's 192 member nations are expected to grant it sweeping new powers to respond to international health threats such as SARS and bioterrorist attacks; new powers including setting up communications network, tapping reliable unofficial sources of information and sending own teams to see how countries are responding to outbreaks (S)",5/28/2003,1
0,2003-05-16T05:00:00+0000,Taiwan Health Minister Quits Over His Handling of SARS,World,"Saying he was ashamed at how quickly the SARS epidemic has grown here, Taiwan's health minister resigned today.",5/16/2003,
1,2003-05-15T05:00:00+0000,China Threatens Execution in Intentional Spreading of SARS,World,"Applying the death penalty to an irresponsible SARS patient may be unlikely, but the government, after concealing the scope of the disease, now seems determined to do all it can to stop it.",5/15/2003,
2,2003-05-25T05:00:00+0000,Relieved Hong Kong Starts to Shed Masks,World,World Health Organization's advisory against travel to Hong Kong is now lifted but economic growth may not fully rebound quickly; most of people out celebrating have shed masks that were symbol of Hong Kong over past two months; photo (M),5/25/2003,
3,2003-05-18T05:00:00+0000,W.H.O. Scientists Say Tactics To Fight Virus Are Working,World,"Scientists brought together by World Health Organization to review data on SARS say existing public health measures have been effective in containing it in many countries and should work in China and Taiwan, where virus is concentrated; detection and treatment of suspected cases as soon as they are identified and then quarantining contacts is essential; message from meeting is hopeful; there is no evidence that animals or insects are spreading disease; information at meeting about super-spreaders discussed; photo (M)",5/18/2003,1
4,2003-05-25T05:00:00+0000,Ill Doctor Is Back in U.S.,World,"Dr Chesley L Richards Jr, American doctor suspected of having SARS, and three colleagues who advised Taiwan, arrive in Atlanta from Taipei; Richards is epidemiologist for Centers for Disease Control and Prevention (S)",5/25/2003,
5,2003-05-14T05:00:00+0000,"Experimental Drug May Fight SARS, Researchers Say",World,"German researchers say that experimental Pfizer drug AG-7088, which was tested and shelved as common cold remedy, may, with some chemical tinkering, be used to fight SARS virus; Pfizer did not apply for FDA approval and modification would take several years; researcher Dr David Ho says in Hong Kong that he and colleages at Aaron Diamond AIDS Research Center in New York have synthesized several peptides that could prevent SARS from entering human cells, but that will also take years of testing (M)",5/14/2003,
6,2003-05-14T05:00:00+0000,Suspected SARS Outbreak in a Hospital Deals a Setback to Taiwan,World,"Possible new SARS outbreak at Chang Gang Hospital, modern center in Kaohsiung, deals setback to Taiwan's efforts to fight epidemic; Taiwan now has 288 probable cases and 25 deaths; photo; map; graph (M)",5/14/2003,
7,2003-05-15T05:00:00+0000,"Taiwan SARS Cases Jump, but Officials Think Tally Is Low",World,"Even as Taiwan was reporting its biggest one-day jump in probable SARS cases, health officials said today that the outbreak in the country is probably much bigger than reported.",5/15/2003,
8,2003-05-24T05:00:00+0000,"New Travel Alert Is Issued for Toronto, But a Glimmer of Success for Hong Kong",World,"World Health Organization lifts its advisory against travel to Hong Kong and neighboring Guangdong Province, China, once twin centers of SARS outbreak; Centers for Disease Control and Prevention reinstates travel alert for Toronto after Canadian authorities report cluster of new possible SARS cases; new cases involve health care workers, hospital patients and some family members; health officials order quarantine for hundreds of people who may have spent time at hospital this month before some of new suspected cases were discovered; Hong Kong has brought down daily rate of new infections from as many as 80 to fewer than 5 for last eight days; photos (M)",5/24/2003,
9,2003-05-16T05:00:00+0000,New Advice on Travelers Stresses a Rational Caution,World,"World Health Orgn issues guidelines on how to handle travelers arriving from areas with cases of SARS; stresses that only people who have symptoms are contagious and can transmit the disease, and that close contact is required for transmission; says traveler with no symptoms who has not been in close contact with suspected SARS case should not face any restrictions; advises people who have had close contact with suspected case over preceding 10 days to stay home and contact health department; says healthy pepole who have had contact with SARS case should defer blood donations for three weeks after last contact, and those who have had probable case of SARS should not donate for three months after recovering fully (M)",5/16/2003,
0,2003-05-16T05:00:00+0000,"Single Case, Unproven, Stirs Fear Of Chinese",World,"Russia's far east, on Siberian border with China, takes action to combat SARS epidemic that may or may not be serious; its economy, which increasingly has come to rely on Chinese trade and labor, is starting to grind slower; area's substantial Asian population is living under long shadow of rumor and suspicion; in Blagoveshchenks, young Russian municipal worker has been lying in medical isolation for last two weeks, with doctors suspecting he has SARS but unable to verify their diagnosis so far despite many tests; photo (M)",5/16/2003,
1,2003-05-15T05:00:00+0000,Thousands Are Quarantined at Taiwan's Top Hospital,World,"National Taiwan University Hospital, Taiwan's leading hospital, is so overwhelmed by internal outbreak of SARS that it is effectively shut down, dealing serious blow to crown jewel in island's medical system; more than 250 staff members are placed in quarantine, including at least 40 doctors and 68 nurses, as well as all patients; Taiwan has rapidly surpassed Canada and Singapore to have world's third-worst outbreak, after mainland China and Hong Kong; military trucks that spray bleach solutions roam streets; photos (M)",5/15/2003,
2,2003-05-16T05:00:00+0000,Number of Cases in Taiwan May Be More Than Reported,World,"World Health Orgn officials say outbreak of SARS in Taiwan is being inaccurately counted and is probably much bigger than reported; official Taiwan tally is 264 cases with 34 deaths; Dr Lee Ming-liang, former health minister leading fight against epidemic, says Taiwan would conform to WHO standards in reporting outbreak, and that when it does, there may be many more probable cases; disease has spread to another major hospital in Taipei, infecting 7 doctors and nurses said to be wearing full infection gear, and ambulance drivers, one of whom dies (M)",5/16/2003,
3,2003-05-16T05:00:00+0000,China Suspends Adoptions and Sets Edict to Fight Virus,World,"China, major destination for Western parents who want to adopt child, temporarily suspends most foreign adoptions of Chinese babies in effort to combat SARS epidemic; announces severe new penalties, including execution, for anyone knowingly spreading the disease; says adoptive parents already in China, and in some cases those who have made final travel arrangements, will be allowed to proceed; government official says few cases of SARS have appeared in China's rural towns and villages, but that danger is great; many citizens of Beijing privately express disillusionment or anger over government's initial impulse to play down severity and extent of disease, which hindered control efforts; photo (M)",5/16/2003,
4,2003-05-12T05:00:00+0000,Taiwan SARS Cases Reach a One-Day High,World,"The number of new SARS cases surged to a single-day record in Taiwan today, while outbreaks elsewhere in Asia showed continuing signs of receding.",5/12/2003,
5,2003-05-15T05:00:00+0000,"Man's Virus Infects Town, Killing His Family",World,"Case of Dr Li Song of Linhe, China, reflects medical, political and economic repercussions of SARS; Li returned to Linhe, in Inner Mongolia, from trip to Beijing in late Mar, unknowingly carrying strain of SARS powerful enough to infect six immediate family members, at least nine medical workers and county official; all told, Linhe area now has more than 100 cases of SARS, many of them traced to Li; his family members died but he survived, and now city authorities are holding him accountable for malfeasance that they claim worsened SARS epidemic; they point to fact that week after Li was admitted to hospital he walked out; he told friends he was frustrated with care he was being given and alarmed at news that both his parents were also ill; Li's friends and colleagues say he broke no laws and cannot be blamed; strongly worded article on Communist Party newspaper suggests search for scapegoat; photo; map (L)",5/15/2003,
6,2003-05-15T05:00:00+0000,Toronto Is Stricken From Warning List Issued by W.H.O.,World,World Health Orgn removes Toronto from its list of cities and provinces where SARS is spreading and putting general population at risk; decision comes three weeks after WHO issued travel advisory about Toronto; advisory was reversed six days later (M),5/15/2003,1
7,2003-05-09T05:00:00+0000,Russia Urges Travel Limit On Suspicion Of SARS Case,World,"Russia urges its airlines to halt flights to and from China, Hong Kong and Taiwan and crimp entries along 2,624-mile Chinese border after nation tentatively logs its first known case of disease; health officials in Blagoveshchensk, on Russia's far eastern border with China, say seriously ill man is improving after having been quarantined on May 1 with flulike symptoms; federal and local officials issue conflicting orders, making it difficult to determine how vigorously Russia is moving to curtail spread of illness, or even whether coordinated effort exists (M)",5/9/2003,
8,2003-05-22T05:00:00+0000,"Masks Become a Taiwan Must-Have, With Bootlegging and Price Gouging",World,"Taiwan, hit hard by SARS epidemic, is mask mad; importers are ordering truckloads of them, and Chinese-Americans are shipping them to relatives on island; public health experts say roaring underground market for N95 masks, which filter out 95 percent of particles, is based largely on misunderstanding; say average person could wear simple paper surgical mask as Pres Chen Shui-bian did when he appeared in public this week; photo (M)",5/22/2003,
9,2003-05-11T05:00:00+0000,Berkeley Campus Eases SARS Curbs on Some Asian Students,World,"Officials at University of California, Berkeley, relax SARS-related restrictions on summer enrollment of some students from Chinese mainland, Hong Kong and Taiwan (M)",5/11/2003,
0,2003-05-10T05:00:00+0000,U.S. Warns Promoters of SARS-Related Products,World,FTC and FDA warn more than 40 Web site operators to stop making false claims about products that supposedly prevent or treat SARS (S),5/10/2003,
1,2003-05-08T05:00:00+0000,Most Taiwan SARS Cases Spread by One Misdiagnosis,World,"Director general of Taiwan's Center for Disease Control says most of Taiwan's SARS cases can be traced to one man whose lung ailment was misdiagnosed for five days; says that patient caused rapid growth in cases that began on Apr 21 and forced closing of four hospitals; says hospital will be fined for misdiagnosing patient's disease and failing to report its error for two days longer; says health authorities think they have traced sources of infection for all but 6 of island's 116 probable cases; in Hong Kong, 11 more people are reported to have died of SARS, bringing death toll to 204; on mainland China, there are 159 new cases, for total of 4,560; 219 people have died; photos (M)",5/8/2003,
2,2003-05-10T05:00:00+0000,Herbs? Bull Thymus? Beijing Leaps at Anti-SARS Potions,World,"SARS spawns booming market in Beijing for potions, disinfectants, gloves, masks and herbal concoctions of dubious utility for warding off infection; millions of Chinese rush to buy new products touted every few days by newspapers, experts or officials; photo; prevention strategies range from vitamin C to injections of bull thymus (M)",5/10/2003,
3,2003-05-08T05:00:00+0000,"At Hong Kong Hospitals, SARS Takes a Heavy Toll on Nurses",World,"SARS remains extremely dangerous for nurses, hundreds of whom have been infected in Canada and Asia despite many precautions; in Hong Kong, two or three more health care workers, usually nurses, are still being infected every day; nurses now make up 55 percent of 368 health care workers in Hong Kong who have confirmed cases of SARS; doctors account for 15 percent of cases; remaining 30 percent of cases are among ward attendants, nursing assistants, cleaners and other hospital workers; photo; chart (M)",5/8/2003,
4,2003-05-20T05:00:00+0000,The Sheltered Children of Beijing,World,"Most notable change in street life in Beijing since onset of SARS epidemic is absence of children; with schools closed for nearly month, majority of Beijing's precious only children are virtual prisoners at home, kept in iron-clad parental lock down to protect them from SARS; photo (M)",5/20/2003,
5,2003-05-07T05:00:00+0000,U.S. Approves Force in Detaining Possible SARS Carriers,World,"Administration officials say Pres Bush has authorized immigration and customs agents at airports to use force to detain arriving passengers who appear to have SARS symptoms as part of efforts to prevent United States epidemic; Homeland Security Department has provided masks and gloves to thousands of its airport inspectors in last month; has trained inspectors to give extra attention to health of passengers arriving on 51 daily flights from Asian cities where SARS outbreak has been severe; no passenger has yet required forcible detention, suggesting Asian governments and airlines have successfully barred infected passengers from boarding flights; photo (M)",5/7/2003,
6,2003-05-08T05:00:00+0000,W.H.O. Doubles Its Estimate Of Death Rate From SARS,World,"World Health Orgn doubles its previous estimate of overall death rate from SARS, to about 15 percent, after analyzing more complete data; revised death rate indicates SARS is proving much more serious than first thought; WHO says latest detailed data from Canada, China, Hong Kong, Singapore and Vietnam shows death rates vary by age: more than 50 percent in people 65 and older; 15 percent in those 45 to 64; 6 percent among those 25 to 44; and 1 percent for those 24 and younger; epidemic is thought likely to change as more information comes in; statistic that has been hard to calculate for SARS is incubation period--interval from time of exposure to onset of symptoms--because individuals may have been exposed to virus on number of occasions (M)",5/8/2003,1
7,2003-05-10T05:00:00+0000,Taipei Seals Housing Project As Taiwan Tries to Halt SARS,World,"Taiwan authorities quarantine two buildings in public housing project because of three suspected SARS cases inside; photo; schools and public venues may be closed; Taiwan has 149 probable cases, only six of unknown origin (S)d",5/10/2003,
8,2003-05-07T05:00:00+0000,Study Suggests A Higher Rate Of SARS Death,World,"Statistical analysis of 1,425 patients suspected of having SARS who were admitted to Hong Kong hospitals from Feb 20 to Apr 15 suggests death rate from SARS could be up to 55 percent in people 60 and older and 13.2 percent in younger people, for overall rate of 19.9 percent, far higher than health officials had thought; unless numbers fall drastically, SARS would be among infectious diseases with highest death rates; difficulty of calculating mortality rates for newly emerging diseases noted; photo (M)",5/7/2003,
