,dates,headline,section_name,abstract
0,2009-04-26T00:52:43+0000,"Students Fall Ill in New York, and Swine Flu Is Likely Cause",World,"The eight suspected cases were said to be mild, and there have been no deaths from swine flu in the U.S., but the outbreak has killed at least 81 people in Mexico."
1,2009-08-31T05:00:00+0000,Europe Braces for Swine Flu's Potential,World,European governments are beginning to develop their plans for advising schools and businesses on how to deal with the H1N1 virus known as swine flu.
2,2009-05-08T00:32:17+0000,Flu Is Injecting Itself Into Mexican Politics,World,"With midterm elections scheduled for July, the A (H1N1) virus has replaced the slumping economy and the drug war as the top worry for voters."
3,2009-08-31T19:52:48+0000,Europe Braces for Swine Flu's Potential,World,European governments are beginning to develop their plans for advising schools and businesses on how to deal with the H1N1 virus known as swine flu.
4,2009-12-10T08:55:07+0000,North Korea Sees Progress in U.S. Envoy’s Visit,World,"North Korea said that its differences with the U.S. had been diminished during the visit this week of President Obama’s envoy, but that it needed more talks before deciding whether to return to talks."
5,2009-05-01T19:21:22+0000,Quick Action by Hong Kong Reflects Experience of SARS,World,"Six years after SARS paralyzed the city and killed nearly 299 of its citizens, Hong Kong is not taking chances with swine flu."
6,2009-04-28T15:43:20+0000,"The Naming of Swine Flu, a Curious Matter",World,"What to call the new strain of flu raising alarms around the world has taken on political, economic and diplomatic overtones."
7,2010-04-21T01:47:20+0000,"As Some Flights Resume, New Confusion Emerges",World,"Despite some progress, airlines are still uncertain about when they can return to a regular schedule."
8,2009-05-22T01:09:30+0000,Spread of Swine Flu Puts Japan in Crisis Mode,World,"The widening outbreak is a particular shock to this hygiene-obsessed country, which has been harder hit than any other country outside North America."
9,2009-09-19T20:49:19+0000,"Belatedly, Egypt Spots Flaws in Wiping Out Pigs",World,"When the government killed the pigs in Egypt in an attempt to combat swine flu, it was warned that Cairo would be overwhelmed with trash. Now, it is."
0,2009-05-02T16:19:28+0000,"In Capital of Mexico, Cabin Fever Takes Hold",World,"Restrictions apply all over the country, but their effect may be felt most strongly in the capital."
1,2009-08-10T21:17:12+0000,Text: News Conference in Guadalajara,World,"The transcript of the news conference held by President Obama, President Felipe Calderón of Mexico, and Prime Minister Stephen Harper of Canada."
2,2009-09-01T05:00:00+0000,Experts Seek Ways to Fight Spread of Dengue Fever in Asia,World,The beginning of the transmission season for many countries in Southeast Asia has prompted heightened concern among health officials.
3,2009-09-01T15:17:42+0000,Experts Seek Ways to Fight Spread of Dengue Fever in Asia,World,The beginning of the transmission season for many countries in Southeast Asia has prompted heightened concern among health officials.
4,2009-05-05T05:00:00+0000,A U.S. Giant Transforms Eastern Europe,World,"Smithfield Foods, an U.S.-based agribusiness giant, has moved into Eastern Europe, transforming the traditionally rural work of hog farmers into an industrial business."
